So Bao Danh,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,KHTN,Lich Su,Dia Ly,GDCD,KHXH
03000001,4.80,6.50,3.80,,,,,4.25,6.50,8.75,6.50
03000002,3.00,2.25,,,,,,2.75,3.00,,
03000003,3.20,2.50,,,,,,2.25,3.75,,
03000004,5.80,3.25,,,,,,2.50,5.50,,
03000005,6.80,6.00,8.60,6.00,3.50,4.25,4.58,,,,
03000006,7.60,5.75,7.20,6.50,5.50,4.25,5.42,,,,
03000007,8.00,8.00,7.60,,,,,6.25,7.75,9.50,7.83
03000008,9.40,6.50,7.60,7.25,8.25,8.00,7.83,,,,
03000009,8.20,7.00,6.40,,,,,6.50,8.25,9.75,8.17
03000010,7.60,7.25,7.40,,,,,3.25,4.75,7.50,5.17
03000011,7.00,7.00,5.00,,,,,5.75,6.75,8.50,7.00
03000012,8.40,4.50,6.80,7.75,7.25,4.00,6.33,,,,
03000013,8.40,6.50,5.80,7.25,7.00,5.75,6.67,,,,
03000014,8.20,6.50,8.00,6.75,6.75,6.00,6.50,,,,
03000015,6.40,6.00,4.60,,,,,3.75,5.75,7.50,5.67
03000016,8.00,7.00,4.20,5.25,6.25,7.25,6.25,,,,
03000017,7.80,5.75,7.40,,,,,2.75,6.75,7.50,5.67
03000018,7.80,5.50,3.80,7.25,7.00,4.75,6.33,,,,
03000019,6.20,5.75,,,,,,3.50,6.25,,
03000020,7.00,8.25,8.80,,,,,7.25,7.00,9.50,7.92
03000021,7.40,6.50,3.40,,,,,5.75,7.50,8.25,7.17
03000022,8.20,5.25,2.40,7.75,8.00,3.75,6.50,,,,
03000023,8.80,5.75,5.80,7.50,7.50,3.75,6.25,,,,
03000024,2.80,0.50,,,,,,3.00,3.50,,
03000025,5.80,6.75,5.00,,,,,5.00,7.00,7.50,6.50
03000026,5.40,6.50,5.00,,,,,4.25,7.00,8.50,6.58
03000027,5.20,5.25,,,,,,2.00,5.25,,
03000028,7.80,6.00,8.80,7.25,5.00,4.75,5.67,,,,
03000029,8.00,5.00,3.40,7.25,6.25,3.75,5.75,,,,
03000030,6.20,5.25,,,,,,4.25,,,
03000031,4.80,6.50,5.20,,,,,4.25,5.75,7.75,5.92
03000032,6.20,6.25,3.00,,,,,2.25,5.50,8.75,5.50
03000033,8.00,6.50,6.40,,,,,4.25,6.75,9.25,6.75
03000034,6.20,5.50,6.40,,,,,6.50,7.00,9.00,7.50
03000035,7.00,5.50,4.00,,,,,3.00,5.50,7.00,5.17
03000036,7.80,5.50,4.60,7.25,5.50,4.00,5.58,,,,
03000037,7.00,6.75,3.00,,,,,4.00,7.25,8.50,6.58
03000038,8.40,7.50,7.60,,,,,6.00,7.50,9.50,7.67
03000039,7.60,6.50,6.80,6.25,7.50,5.50,6.42,,,,
03000040,7.40,7.00,6.80,,,,,7.50,7.25,9.25,8.00
03000041,7.40,5.25,3.80,6.75,7.75,4.25,6.25,,,,
03000042,8.40,6.50,8.20,8.25,5.75,5.75,6.58,,,,
03000043,8.20,7.75,8.20,,,,,8.00,7.50,8.75,8.08
03000044,6.60,7.50,4.60,,,,,5.50,5.75,8.25,6.50
03000045,6.80,7.25,7.60,,,,,6.00,8.00,8.75,7.58
03000046,7.40,6.50,5.20,6.25,4.00,4.00,4.75,,,,
03000047,7.20,7.00,3.80,5.50,4.25,4.75,4.83,,,,
03000048,7.40,7.50,5.60,,,,,5.25,6.75,9.00,7.00
03000049,7.20,4.50,3.20,7.25,6.25,4.25,5.92,,,,
03000050,7.00,4.50,5.20,,,,,4.75,6.25,7.75,6.25
03000051,8.40,4.75,5.40,8.25,6.50,4.25,6.33,,,,
03000052,7.40,5.50,7.00,5.25,5.75,5.00,5.33,,,,
03000053,7.60,4.50,3.80,5.00,7.00,3.00,5.00,,,,
03000054,6.40,6.50,7.00,,,,,1.50,6.50,9.00,5.67
03000055,5.00,0.75,,,,,,3.00,4.75,,
03000056,8.20,6.50,7.40,,,,,6.50,7.00,8.25,7.25
03000057,8.00,6.25,5.20,7.00,7.50,5.75,6.75,,,,
03000058,7.20,6.00,3.20,5.50,6.00,5.75,5.75,,,,
03000059,6.40,6.75,5.80,,,,,4.00,5.75,8.00,5.92
03000060,8.00,6.25,7.80,6.25,6.50,4.25,5.67,,,,
03000061,7.40,7.00,6.80,7.00,4.75,4.50,5.42,,,,
03000062,8.00,7.00,5.80,,,,,6.75,8.25,9.75,8.25
03000063,7.40,6.25,5.20,,,,,5.75,6.25,8.50,6.83
03000064,5.80,5.00,,,,,,4.75,5.75,,
03000065,8.20,7.00,7.60,,,,,,,,
03000066,3.40,4.00,,,,,,2.50,4.50,,
03000067,7.40,5.25,4.00,7.50,7.00,5.75,6.75,,,,
03000068,3.80,2.50,,,,,,2.50,5.75,,
03000069,6.40,5.00,3.00,,,,,6.00,7.75,6.75,6.83
03000070,5.00,5.75,,,,,,4.75,4.75,,
03000071,8.20,5.25,3.40,7.50,7.00,3.50,6.00,,,,
03000072,5.40,6.00,3.00,4.50,4.50,3.75,4.25,,,,
03000073,5.00,3.25,,,,,,3.00,5.75,,
03000074,6.80,6.50,4.60,,,,,3.75,5.50,7.50,5.58
03000075,5.40,6.25,3.80,,,,,5.50,5.75,7.00,6.08
03000076,7.00,7.75,8.20,,,,,8.50,8.25,9.00,8.58
03000077,8.20,7.25,7.40,6.00,8.25,7.75,7.33,,,,
03000078,7.20,7.75,7.20,,,,,5.00,7.00,8.25,6.75
03000079,5.40,3.75,,,,,,2.25,5.00,,
03000080,7.20,7.75,5.60,,,,,5.75,6.50,9.25,7.17
03000081,7.40,5.00,4.00,7.00,7.00,3.75,5.92,,,,
03000082,7.00,5.50,5.20,,,,,6.50,6.75,8.50,7.25
03000083,6.60,4.50,5.80,7.50,6.00,3.50,5.67,,,,
03000084,6.60,4.50,,,,,,3.00,7.25,,
03000085,8.00,3.75,4.20,5.00,3.25,2.75,3.67,,,,
03000086,6.40,6.00,5.00,,,,,2.25,6.25,8.25,5.58
03000087,7.60,6.25,4.00,3.50,6.00,5.00,4.83,,,,
03000088,7.60,5.00,3.00,8.00,6.25,4.75,6.33,,,,
03000089,2.60,0.00,,,,,,2.25,3.00,,
03000090,7.80,5.00,3.80,7.25,7.25,4.75,6.42,,,,
03000091,5.20,7.00,3.80,,,,,5.50,6.50,8.00,6.67
03000092,5.60,4.00,,,,,,4.00,4.75,,
03000093,7.00,5.75,4.00,4.75,3.75,4.00,4.17,,,,
03000094,8.00,4.50,4.20,6.25,6.75,3.50,5.50,,,,
03000095,7.00,5.00,4.00,4.00,5.75,2.50,4.08,,,,
03000096,5.40,6.25,8.80,,,,,3.25,7.25,7.50,6.00
03000097,5.20,6.50,5.00,,,,,4.25,4.75,8.00,5.67
03000098,6.80,7.25,6.60,,,,,5.00,5.50,9.25,6.58
03000099,7.80,7.00,8.40,5.50,4.25,4.50,4.75,,,,
03000100,7.40,7.25,6.40,,,,,4.50,6.25,8.25,6.33
03000101,7.60,6.00,3.00,8.50,8.25,4.00,6.92,,,,
03000102,7.00,6.75,5.00,,,,,4.50,7.50,9.25,7.08
03000103,1.60,2.00,,,,,,2.50,4.25,,
03000104,6.40,6.75,5.00,,,,,5.25,6.50,8.25,6.67
03000105,6.00,5.50,5.20,6.75,3.25,4.00,4.67,,,,
03000106,7.40,5.75,5.20,6.00,4.25,4.25,4.83,,,,
03000107,9.00,4.75,8.60,8.00,6.00,3.75,5.92,,,,
03000108,7.00,5.50,5.20,,,,,5.50,7.75,9.25,7.50
03000109,5.80,5.50,4.60,4.00,2.75,3.75,3.50,,,,
03000110,6.60,5.25,6.00,5.25,1.25,4.00,3.50,,,,
03000111,5.20,5.25,3.20,,,,,3.50,6.25,7.50,5.75
03000112,7.60,6.50,6.20,8.75,6.50,5.75,7.00,,,,
03000113,7.80,5.25,8.00,8.00,3.50,4.00,5.17,,,,
03000114,7.20,5.25,2.40,6.75,6.00,4.25,5.67,,,,
03000115,2.40,3.25,,,,,,3.75,5.25,,
03000116,7.00,7.25,3.20,5.50,6.25,4.00,5.25,,,,
03000117,7.80,5.75,3.60,3.00,6.00,5.00,4.67,,,,
03000118,3.80,3.75,,,,,,3.25,4.75,,
03000119,6.40,5.00,,,,,,3.75,7.00,,
03000120,5.40,5.25,,,,,,3.25,5.75,,
03000121,5.40,4.75,,,,,,3.50,5.75,,
03000122,6.00,6.00,3.80,4.75,4.50,4.50,4.58,,,,
